Episode,Total_Reward
1,-222.74494484676217
2,-120.4305808273982
3,-44.2413894331631
4,-113.24994942345506
5,-61.641718014526056
6,-128.53593555599997
7,-240.09178852232472
8,-81.76352762839772
9,-196.92732783801407
10,-323.087566453705
11,-81.37004612378519
12,-228.95118893374996
13,-169.45390696952686
14,-99.1801913539099
15,-107.80361404002856
16,-255.78471906546525
17,-114.38492664061316
18,-178.66666665661893
19,-264.3133748044012
20,-155.06825137811938
21,-166.6625421971011
22,-182.42230299860594
23,-178.26323037732135
24,-238.42305541394057
25,-203.44852567956463
26,-182.94610364446459
27,-244.34669184648487
28,-243.99495016763586
29,-82.2289868229536
30,-106.81636462277203
31,-97.48562919555494
32,-141.98212051117537
33,-92.00988244529685
34,-242.67550816660201
35,-157.9674482571122
36,-134.21202705391985
37,-136.43799550305184
38,-105.22508824355945
39,-144.79374737464764
40,-102.8337058775266
41,-89.22094991787394
42,-89.84762876393168
43,-118.02505242123821
44,-80.05862736521331
45,-175.0994319876727
46,-232.98372869721823
47,-124.05144573146973
48,-85.92824611354935
49,-104.27592212838022
50,-76.12439745255884
51,-77.02300995305423
52,-100.83276612900741
53,-113.62292656277933
54,-94.65090207980296
55,-89.87182720221888
56,-123.49196406198149
57,-111.2714255046682
58,-72.32103435656589
59,-127.68156771450762
60,-115.83508817601283
61,-101.59907542928408
62,-122.87582962668577
63,-99.77812335092631
64,-91.80458810718562
65,-79.69786427242286
66,-95.16630075070093
67,-18.984203500760174
68,-115.58650723563188
69,-88.41351093427076
70,-98.54557690371875
71,-247.75860058120801
72,-98.97364594800378
73,-241.0359344200454
74,-167.74397161721157
75,-62.95227500489433
76,-41.37132642012857
77,-237.83493860425833
78,-72.05835856310034
79,-70.33514292236396
80,-129.37947421013794
81,-162.8303060931332
82,-114.69569959017655
83,-96.29249033393783
84,-111.66366593799421
85,-70.83474537178797
86,-136.36908511791142
87,18.686105178265052
88,-121.043735654861
89,-81.72767678970048
90,-109.69103157834732
91,-75.47736513792931
92,-81.40735999060082
93,-41.99917696141672
94,13.153997155245847
95,-120.43216334753687
96,-306.2815015162891
97,-72.54766249347898
98,-115.26958526378965
99,-63.40573606845912
100,-73.62657763888333
101,-21.56607071752157
102,-100.22102944670797
103,-43.135469609692706
104,-103.9667283346534
105,-61.01213058104035
106,-117.13233981493775
107,-58.93245989880279
108,-127.63118754182592
109,-81.55815502327611
110,-49.17562469775354
