Episode,Total_Reward
918,-212.68236375977455
919,-84.6756480187118
920,39.3747344541786
921,242.14820818776116
922,-292.83171130788946
923,249.44049913527357
924,-263.4146564649057
925,-55.22904523283958
926,-292.51112294847593
927,-187.61958608416728
928,203.8672809767238
929,-180.0092520583409
930,-253.5593361456772
931,-50.834105996187645
932,-42.21197900405109
933,281.6215593984101
934,-107.41604415406765
935,-175.5706953660768
936,-112.61404443021577
937,-375.37533369348614
938,-405.8727569357799
939,-100.34648165713637
940,-215.5883395954054
941,-229.76404929659685
942,-356.9593476389036
943,71.00943868841418
944,-488.01531298039015
945,197.5961773523187
946,-161.32453816882057
947,-186.4866537806901
948,-130.1691853911672
949,255.52366029097007
950,-191.16139288506503
951,-316.3172129955275
952,-213.0689569667299
953,-138.88354863106338
954,-229.19797339406378
955,-103.7620654328615
956,-94.12825437654729
957,-178.59700577281322
958,-270.51512881294946
959,-45.62537055574232
960,-176.0250127174272
961,-162.94210829287806
962,-17.703340607530563
963,-169.2658345131224
964,-227.0747178023427
965,-173.25258868627395
966,-125.3840964272977
967,-176.41118945144146
968,213.9057686307976
969,-222.0463989185322
970,-123.48246301279985
971,-48.66754232221865
972,-138.42270787279568
973,161.0498435358318
974,-176.3680880729576
975,-42.840792217961194
976,-144.69407557076488
977,-176.62007566887738
978,-178.62823241409234
979,-185.2765955879023
980,-102.30800702530937
981,-92.43957096941759
982,-146.26270448599354
983,-87.6592657491907
984,-168.80656589468384
985,188.24593391897815
986,-97.53236724859275
987,-223.56325799170378
988,-183.84139359416562
989,-114.37344162368693
990,-198.52702322783952
991,-7.188766304684805
992,-148.29866143319617
993,-164.01006323681995
994,-245.76682247593283
995,-116.26859089804171
996,-222.63297522892515
997,-198.12029562402222
998,-292.5780348832553
999,-340.0968091932114
1000,-149.369480843435
1001,-219.5484337300007
1002,-274.8122676319516
1003,-253.85857580009787
1004,-94.35434827767259
1005,49.47202212980855
1006,-178.33556485226464
1007,-148.89424420991213
1008,-155.42283402486538
1009,-276.468919677691
1010,-56.429464631145606
1011,-126.47817738002519
1012,-79.57138867538464
1013,-266.9138028794296
1014,-207.17569706350926
1015,-228.52249367712744
1016,-177.67716410420792
1017,-262.8520357374448
1018,-200.1668882067807
1019,-171.4111311576804
1020,-174.16639961032334
1021,-135.80864815226684
1022,-151.31123496871928
1023,-15.747810742861297
1024,-168.01849566330998
1025,-190.35378762130463
1026,-229.04020380182234
1027,-193.66263244243768
1028,-192.75736238400754
1029,-166.1572970025493
1030,-155.51716174514067
1031,199.18164816729634
1032,-172.37135847930222
1033,-155.23228715075663
1034,-267.6052083272184
1035,-204.12771910369202
1036,-96.22957807671875
1037,-200.51221388783375
1038,-205.36966441525811
1039,-173.9148548787571
1040,-122.28523790963095
1041,-173.21202205930388
1042,-132.53915332068485
1043,-103.22778409075535
1044,-221.83572183252465
1045,-41.14320588456778
1046,-114.02381167591518
1047,-287.34554684446744
1048,-240.01980701045554
1049,-200.55257667095688
1050,-318.19866942765873
1051,-228.83561492438372
1052,-231.95370296255146
1053,-231.32266638123394
1054,-304.04471205755556
1055,-312.7108073612336
1056,-536.6024320272629
1057,-189.41332035831945
1058,-450.9465403733176
1059,-211.0263454802205
1060,-165.95141849922584
1061,-187.06560770270468
1062,-164.37581123997728
1063,-173.20379014660088
1064,-56.4635862615343
1065,-112.0745706600512
1066,-111.09812400208803
1067,-157.31338290917247
1068,-206.48562791055286
1069,-145.47585404836528
1070,-170.97314845367367
1071,-140.1046444163101
1072,-231.42414395731518
1073,-108.20846485661619
1074,383.5687592223865
1075,-140.20571517791973
1076,-95.96442984491698
1077,-112.94966848270377
1078,-202.17470201088216
1079,-197.34182031283467
1080,-181.94323322529638
1081,-180.31785342067843
1082,-121.73939543266097
1083,-136.1761012541579
1084,-216.166537759861
1085,-179.00983119147517
1086,-69.91821944684767
1087,-180.60410794396145
1088,-266.47348449972037
1089,-151.9713594649729
1090,-144.20238664497197
