Episode,Total_Reward
1,-233.21106141933274
2,-354.2434264812971
3,-269.8245421664012
4,-264.99013454900137
5,-164.6552728594596
6,14.551891746318802
7,-224.52090056468094
8,13.639598022042406
9,-243.03038531806266
10,-198.08648593210117
11,-284.37413550346474
12,-209.71186456872974
13,-215.0905034633637
14,-179.56705640624202
15,-240.0228766953054
16,-319.17445926324496
17,-246.78127296586527
18,-281.11777937363127
19,-147.81395178301588
20,-142.70913616247358
21,-310.0836777797379
22,-261.3176234488577
23,-415.36211167056035
24,-174.15745931489334
25,-197.36709944814797
26,-328.73821404631565
27,-60.50398240072572
28,-195.09513980027506
29,-312.9029533213269
30,-252.60788089037703
31,-272.73458554066576
32,-144.91988533422278
33,-114.1246612991863
34,-292.9631820381835
35,-159.01833870339914
36,-148.37650445509348
37,-208.16312510159617
38,-198.84329301577995
39,-137.51312368454822
40,-217.99408427107267
41,-170.75156157510986
42,-320.88680569769843
43,-214.88278746380337
44,-198.88180360803824
45,-211.58560208102864
46,-182.5712177635059
47,-171.91189560749748
48,-367.9520419254665
49,-164.9930778426916
50,-257.62030697237935
51,-273.03857480592706
52,-113.90931938222025
53,-239.5077127981234
54,-363.6709024656799
55,-143.75326241213267
56,-178.54817569701777
57,-176.26933062700505
58,-268.39834975720385
59,-340.48663780219744
60,-326.8737710507993
61,-268.0107631365905
62,-414.6159395670601
63,-208.28027950629303
64,-244.48121185420882
65,-179.1978504438209
66,-354.0636127691359
67,-231.45774243919027
68,-166.91336053816272
69,-45.996048689586885
70,-57.46889219956785
71,-367.6479282749324
72,-190.78759950137612
73,-368.8638034581008
74,-205.83643106667654
75,-179.5814449989142
76,-346.97145060033984
77,-50.00676048106209
78,-351.61413508917894
79,-260.9367950092652
80,-145.68476965171865
81,-135.30682822342854
82,-291.61638224040865
83,-299.229243436666
84,-186.24087961874477
85,-189.27208697767034
86,-87.8055549211411
87,-154.99113816297393
88,-362.3266254384886
89,-341.4160472034767
90,-120.59887323741108
91,-192.68491823403156
92,-204.81496929311663
93,-393.43204755179
94,-148.62078382213286
95,-199.14533381174454
96,-200.34331722693835
97,-86.37272741922996
98,-256.6516200494709
99,-142.87426538055152
100,-175.83521514070793
101,-197.60823895226403
102,-284.3339439659019
103,-216.94331054220686
104,-135.16545188622828
105,-132.74830667999157
106,-116.08869054489503
107,-371.3848031367703
108,-239.62235643783924
109,-124.38656842587528
110,-274.6991648957603
111,-127.87351387482354
112,-126.51017844699297
113,-127.66571232330301
114,-319.3299313305679
115,-117.00155139648041
116,-165.9737681377972
117,-213.20191075272453
118,-332.93548026755917
119,-312.15425007864053
120,-175.48907200874555
121,-341.85984415102575
122,-168.16430939440724
123,-76.68945122323136
124,-262.6718210762992
125,-287.4566429269801
126,-144.7307189097608
127,-289.964575640669
128,-151.26433648768227
129,-133.09870380430567
130,-83.94484081353235
131,-66.7394683485295
132,-341.4626702593921
133,-120.01037806511331
134,-177.08663858036635
135,-127.97934006778736
136,-283.6511809239821
137,-83.22496300821769
138,-32.52835666780058
139,-231.8431384542975
140,-230.84592804898443
141,-173.57615940928144
142,-306.12677856485396
143,-139.86978177504236
144,-157.58260285620165
145,-410.9150421328858
146,-226.19598068332277
147,-256.8919357668777
148,-207.53753967025423
149,-222.03274008788514
150,-127.86063826272972
151,-123.15367461033173
152,-108.595333452553
153,-51.783515516386956
154,-226.9050198158396
155,-175.47521704997575
156,-190.96219002444516
157,-181.12965683519988
158,-236.07786827595788
